Customer_ID,Transaction_History,Login_Activity,Purchase_Frequency,Last_Purchase_Date,Churn_Status
CUST_00001,8,24,10,4/1/2023 12:02,0
CUST_00002,33,23,24,3/29/2024 12:02,0
CUST_00003,23,21,10,3/17/2023 12:02,0
CUST_00004,25,13,31,4/25/2024 12:02,0
CUST_00005,8,14,39,9/12/2024 12:02,0
CUST_00006,45,11,47,10/16/2023 12:02,0
CUST_00007,22,8,58,2/16/2023 12:02,0
CUST_00008,4,1,28,1/11/2025 12:02,0
CUST_00009,40,8,4,12/20/2024 12:02,0
CUST_00010,3,19,50,12/5/2023 12:02,1
CUST_00011,29,17,48,9/1/2024 12:02,0
CUST_00012,41,9,19,6/16/2024 12:02,1
CUST_00013,29,27,40,8/9/2024 12:02,0
CUST_00014,34,13,16,1/16/2024 12:02,1
CUST_00015,34,22,32,8/19/2023 12:02,1
CUST_00016,28,15,6,10/14/2023 12:02,0
CUST_00017,13,27,51,2/29/2024 12:02,0
CUST_00018,15,13,10,4/21/2023 12:02,0
CUST_00019,23,27,59,3/4/2024 12:02,0
CUST_00020,44,8,45,10/16/2024 12:02,0
CUST_00021,26,27,16,8/23/2024 12:02,0
CUST_00022,4,30,2,2/22/2024 12:02,0
CUST_00023,26,26,8,11/7/2023 12:02,0
CUST_00024,40,12,41,6/15/2023 12:02,1
CUST_00025,9,11,39,6/9/2023 12:02,0
CUST_00026,5,20,5,6/29/2024 12:02,0
CUST_00027,32,13,30,3/23/2023 12:02,0
CUST_00028,20,16,8,4/16/2023 12:02,0
CUST_00029,50,2,29,11/18/2024 12:02,0
CUST_00030,11,6,3,7/22/2023 12:02,1
CUST_00031,15,16,13,8/19/2023 12:02,1
CUST_00032,32,18,52,7/14/2024 12:02,0
CUST_00033,28,17,27,12/24/2023 12:02,0
CUST_00034,22,15,51,10/29/2024 12:02,0
CUST_00035,41,7,12,4/12/2024 12:02,1
CUST_00036,17,14,51,12/15/2024 12:02,0
CUST_00037,26,7,40,8/12/2024 12:02,0
CUST_00038,44,6,51,1/11/2024 12:02,1
CUST_00039,7,12,6,8/6/2023 12:02,0
CUST_00040,42,2,39,12/30/2024 12:02,1
CUST_00041,26,21,49,6/11/2023 12:02,1
CUST_00042,25,1,15,10/24/2023 12:02,1
CUST_00043,10,18,46,1/16/2024 12:02,0
CUST_00044,45,29,47,7/25/2024 12:02,0
CUST_00045,19,28,59,6/14/2023 12:02,0
CUST_00046,11,5,8,11/24/2024 12:02,0
CUST_00047,13,21,40,6/9/2024 12:02,0
CUST_00048,8,7,59,5/29/2024 12:02,0
CUST_00049,40,15,52,3/22/2024 12:02,1
CUST_00050,4,21,24,9/27/2023 12:02,0
CUST_00051,47,27,32,4/1/2023 12:02,0
CUST_00052,31,6,31,10/1/2024 12:02,0
CUST_00053,28,2,38,6/17/2023 12:02,1
CUST_00054,11,21,55,11/30/2023 12:02,0
CUST_00055,43,24,3,8/30/2024 12:02,0
CUST_00056,1,17,48,6/26/2024 12:02,0
CUST_00057,49,27,35,2/10/2024 12:02,1
CUST_00058,47,13,13,12/12/2023 12:02,0
CUST_00059,38,13,59,7/14/2024 12:02,1
CUST_00060,24,14,58,12/27/2023 12:02,0
CUST_00061,47,26,47,10/24/2023 12:02,1
CUST_00062,31,23,42,11/23/2023 12:02,1
CUST_00063,41,8,41,11/29/2023 12:02,0
CUST_00064,46,15,58,1/15/2024 12:02,1
CUST_00065,50,11,15,5/31/2023 12:02,1
CUST_00066,26,13,26,7/19/2023 12:02,1
CUST_00067,49,21,12,8/22/2023 12:02,0
CUST_00068,50,20,60,4/10/2023 12:02,1
CUST_00069,5,1,25,9/24/2023 12:02,1
CUST_00070,20,25,28,10/21/2023 12:02,1
CUST_00071,41,2,19,12/9/2024 12:02,0
CUST_00072,11,11,9,1/10/2025 12:02,1
CUST_00073,33,14,35,11/5/2023 12:02,0
CUST_00074,50,30,45,1/23/2024 12:02,0
CUST_00075,38,5,36,3/10/2023 12:02,1
CUST_00076,27,7,32,12/19/2023 12:02,1
CUST_00077,34,24,3,11/10/2023 12:02,1
CUST_00078,15,16,5,10/11/2023 12:02,0
CUST_00079,32,30,60,8/29/2024 12:02,0
CUST_00080,21,11,52,1/6/2025 12:02,1
CUST_00081,46,26,41,2/23/2023 12:02,1
CUST_00082,5,15,18,4/25/2023 12:02,0
CUST_00083,6,4,42,12/3/2023 12:02,1
CUST_00084,38,10,56,9/7/2024 12:02,1
CUST_00085,22,1,51,5/4/2024 12:02,1
CUST_00086,18,7,15,1/13/2025 12:02,0
CUST_00087,14,12,25,5/8/2024 12:02,1
CUST_00088,10,29,18,12/24/2024 12:02,1
CUST_00089,46,26,7,1/8/2025 12:02,1
CUST_00090,13,11,22,9/7/2023 12:02,1
CUST_00091,31,11,24,6/28/2024 12:02,0
CUST_00092,30,25,35,11/2/2023 12:02,0
CUST_00093,3,17,22,6/11/2024 12:02,0
CUST_00094,30,30,27,2/2/2024 12:02,1
CUST_00095,6,1,2,4/12/2023 12:02,1
CUST_00096,29,15,11,2/9/2025 12:02,0
CUST_00097,8,23,58,10/20/2023 12:02,1
CUST_00098,44,25,47,11/14/2024 12:02,0
CUST_00099,45,21,26,12/21/2023 12:02,0
CUST_00100,43,20,7,9/11/2024 12:02,0
CUST_00101,44,22,19,7/4/2024 12:02,0
